Rank,Player,Team,Position,Tier,Tag,Notes
289,Jalen Tolbert,MIA,WR,Tier 8,,VORP: -79.7 | Proj: 59.1pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
290,Jack Bech,LV,WR,Tier 8,,VORP: -80.9 | Proj: 57.9pts | Scheme: Klint Kubiak
291,Joshua Palmer,BUF,WR,Tier 8,,VORP: -81.3 | Proj: 57.5pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ 3-WR Slot Heavy (24%)
292,Cyrus Allen,KC,WR,Tier 8,,VORP: -81.8 | Proj: 57.0pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass)
293,Cade Stover,HOU,TE,Tier 8,,VORP: -81.8 | Proj: 25.4pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass)
294,Jackson Hawes,BUF,TE,Tier 8,,VORP: -81.9 | Proj: 25.2pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass)
295,Tyreek Hill,FA,WR,Tier 8,,VORP: -82.5 | Proj: 56.3pts | Scheme: nan
296,Luke Schoonmaker,DAL,TE,Tier 8,,VORP: -82.7 | Proj: 24.2pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass)
297,Nate Boerkircher,JAC,TE,Tier 8,,VORP: -82.9 | Proj: 24.0pts | Scheme: Liam Coen • 🎯 Pass-Heavy RZ (Liam Coen)
298,Tank Bigsby,PHI,RB,Tier 8,,VORP: -83.1 | Proj: 63.3pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2) • 👑 Elite GL Run (78% Run - Saquon/Hurts TDs)
299,Brandon Aiyuk,SF,WR,Tier 8,,VORP: -83.7 | Proj: 55.0pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
300,Matt Hibner,BAL,TE,Tier 8,,VORP: -84.0 | Proj: 22.8pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🎯 90%+ Route Snaps (60% 12p)
301,Taysom Hill,FA,TE,Tier 8,,VORP: -84.1 | Proj: 22.7pts | Scheme: nan
302,Michael Trigg,DAL,TE,Tier 8,,VORP: -84.1 | Proj: 22.7pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass)
303,Najee Harris,NYG,RB,Tier 8,,VORP: -85.0 | Proj: 61.4pts | Scheme: Matt Nagy • OL #18
304,Luke McCaffrey,WAS,WR,Tier 8,,VORP: -85.3 | Proj: 53.5pts | Scheme: David Blough • ⚠️ Bad OL (#25)
305,Chimere Dike,TEN,WR,Tier 8,,VORP: -85.7 | Proj: 53.1pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚡ 3-WR Slot Heavy (20%)
306,Zach Ertz,FA,TE,Tier 8,,VORP: -86.4 | Proj: 19.9pts | Scheme: nan
307,Max Klare,LAR,TE,Tier 8,,VORP: -87.0 | Proj: 19.2pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🎯 90%+ Route Snaps (40% 12p)
308,Braelon Allen,NYJ,RB,Tier 8,,VORP: -87.9 | Proj: 58.4pts | Scheme: Frank Reich • OL #17
309,Mitchell Evans,CAR,TE,Tier 8,,VORP: -88.9 | Proj: 17.0pts | Scheme: Dave Canales/Idzik
310,Darnell Mooney,NYG,WR,Tier 8,,VORP: -88.9 | Proj: 49.9pts | Scheme: Matt Nagy
311,Jacob Cowing,SF,WR,Tier 8,,VORP: -89.1 | Proj: 49.7pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
312,Chris Brazzell II,CAR,WR,Tier 8,,VORP: -89.3 | Proj: 49.5pts | Scheme: Dave Canales/Idzik
313,George Holani,SEA,RB,Tier 8,,VORP: -89.4 | Proj: 56.9pts | Scheme: Brian Fleury • OL #14
314,Emmett Johnson,KC,RB,Tier 8,,VORP: -89.8 | Proj: 56.5pts | ⭐ Top-10 Eco (Andy Reid) • OL #21
315,LeQuint Allen Jr.,JAC,RB,Tier 8,,VORP: -89.9 | Proj: 56.4pts | Scheme: Liam Coen • OL #23
316,Treylon Burks,WAS,WR,Tier 8,,VORP: -90.9 | Proj: 47.9pts | Scheme: David Blough • ⚠️ Bad OL (#25)
317,Kevin Coleman Jr.,MIA,WR,Tier 8,,VORP: -90.9 | Proj: 47.8pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
318,Antonio Williams,WAS,WR,Tier 8,,VORP: -91.0 | Proj: 47.8pts | Scheme: David Blough • ⚠️ Bad OL (#25)
319,Christian Kirk,SF,WR,Tier 8,,VORP: -91.0 | Proj: 47.8pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
320,Isaiah Davis,NYJ,RB,Tier 8,,VORP: -91.2 | Proj: 55.2pts | Scheme: Frank Reich • OL #17
321,Ray Davis,BUF,RB,Tier 8,TARGET,🎯[SMASH TARGET] | VORP: -91.2 | Proj: 55.1pts | ⭐ Top-10 Eco (Joe Brady) • OL #7
322,Trey Benson,ARI,RB,Tier 8,,VORP: -91.3 | Proj: 55.1pts | Scheme: Mike LaFleur • OL #20
323,Jaylen Wright,MIA,RB,Tier 8,,VORP: -92.8 | Proj: 53.5pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30)
324,Malik Davis,DAL,RB,Tier 8,,VORP: -93.4 | Proj: 53.0pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15
325,Mack Hollins,NE,WR,Tier 8,,VORP: -93.5 | Proj: 45.3pts | Scheme: Josh McDaniels
326,Ashton Dulin,IND,WR,Tier 8,,VORP: -94.2 | Proj: 44.6pts | Scheme: Shane Steichen
327,Devontez Walker,BAL,WR,Tier 8,,VORP: -94.5 | Proj: 44.3pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🚨 2-WR Bench Risk (60%)
328,Emari Demercado,KC,RB,Tier 8,,VORP: -94.6 | Proj: 51.7pts | ⭐ Top-10 Eco (Andy Reid) • OL #21
329,Olamide Zaccheaus,ATL,WR,Tier 8,,VORP: -95.1 | Proj: 43.7pts | Scheme: Kevin Stefanski/Rees • 🚨 2-WR Bench Risk (54%)
330,Chris Brooks,GB,RB,Tier 8,,VORP: -95.2 | Proj: 51.1pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27) • 👑 Elite GL Run (67% Run - Jacobs TDs)
331,Kaytron Allen,WAS,RB,Tier 8,,VORP: -95.4 | Proj: 51.0pts | Scheme: David Blough • ⚠️ Bad OL (#25)
332,Lew Nichols III,PIT,RB,Tier 8,,VORP: -96.6 | Proj: 49.7pts | Scheme: Mike McCarthy • OL #19
333,Cash Jones,ATL,RB,Tier 8,,VORP: -96.6 | Proj: 49.7pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs)
334,Miles Sanders,FA,RB,Tier 8,,VORP: -96.6 | Proj: 49.7pts | Scheme: nan • OL #16
335,Jaydn Ott,KC,RB,Tier 8,,VORP: -96.6 | Proj: 49.7pts | ⭐ Top-10 Eco (Andy Reid) • OL #21
336,Kenny McIntosh,FA,RB,Tier 8,,VORP: -96.6 | Proj: 49.7pts | Scheme: nan • OL #16
337,Ty Chandler,NO,RB,Tier 8,,VORP: -96.6 | Proj: 49.7pts | Scheme: Kellen Moore • OL #22
338,Kene Nwangwu,NYJ,RB,Tier 8,,VORP: -96.6 | Proj: 49.7pts | Scheme: Frank Reich • OL #17
339,Miles Davis,CAR,RB,Tier 8,,VORP: -96.6 | Proj: 49.7pts | Scheme: Dave Canales/Idzik • OL #8
340,Malik Benson,LV,WR,Tier 8,,VORP: -96.7 | Proj: 42.1pts | Scheme: Klint Kubiak
341,Kyle Williams,NE,WR,Tier 8,,VORP: -97.0 | Proj: 41.8pts | Scheme: Josh McDaniels
342,Jamal Haynes,CIN,RB,Tier 8,,VORP: -97.0 | Proj: 49.3pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28)
343,Noah Whittington,HOU,RB,Tier 8,,VORP: -97.0 | Proj: 49.3pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29)
344,Kalel Mullings,TEN,RB,Tier 8,,VORP: -97.0 | Proj: 49.3pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
345,Demond Claiborne,MIN,RB,Tier 8,,VORP: -97.3 | Proj: 49.0pts | Scheme: Kevin O'Connell • OL #12
346,Tanner Koziol,JAC,TE,Tier 8,,VORP: -97.8 | Proj: 6.6pts | Scheme: Liam Coen • 🎯 Pass-Heavy RZ (Liam Coen)
347,Sam Roush,CHI,TE,Tier 8,,VORP: -97.8 | Proj: 6.6pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson) • 🎯 90%+ Route Snaps (41% 12p)
348,Justin Joly,DEN,TE,Tier 8,,VORP: -97.8 | Proj: 6.6pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton)
349,Hollywood Brown,PHI,WR,Tier 8,,VORP: -98.5 | Proj: 40.3pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
350,Fernando Mendoza,LV,QB,Tier 8,,VORP: -98.9 | Proj: 142.2pts | Scheme: Klint Kubiak • OL #24
351,John Metchie III,CAR,WR,Tier 8,,VORP: -99.0 | Proj: 39.8pts | Scheme: Dave Canales/Idzik
352,James Conner,ARI,RB,Tier 8,,VORP: -99.2 | Proj: 47.2pts | Scheme: Mike LaFleur • OL #20
353,Brenen Thompson,LAC,WR,Tier 8,,VORP: -99.9 | Proj: 38.9pts | Scheme: Mike McDaniel • ⚡ 3-WR Slot Heavy (19%)
354,Jonnu Smith,FA,TE,Tier 8,,VORP: -100.0 | Proj: 3.9pts | Scheme: nan
355,Roman Wilson,PIT,WR,Tier 8,,VORP: -100.5 | Proj: 38.3pts | Scheme: Mike McCarthy
356,Kaelon Black,SF,RB,Tier 8,,VORP: -101.9 | Proj: 44.4pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
357,Konata Mumpfield,LAR,WR,Tier 8,,VORP: -102.3 | Proj: 36.5pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass)
358,Adam Randall,BAL,RB,Tier 8,,VORP: -102.6 | Proj: 43.7pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 👑 Elite GL Run (72% Run - Henry/Lamar TDs)
359,Colbie Young,CIN,WR,Tier 8,,VORP: -103.3 | Proj: 35.5pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
360,Zavion Thomas,CHI,WR,Tier 8,,VORP: -104.5 | Proj: 34.2pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson)
361,Ollie Gordon II,MIA,RB,Tier 8,,VORP: -104.6 | Proj: 41.7pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30)
362,Jordan James,SF,RB,Tier 8,,VORP: -105.0 | Proj: 41.3pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
363,Jordan Whittington,LAR,WR,Tier 8,,VORP: -105.5 | Proj: 33.3pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass)
364,Brashard Smith,KC,RB,Tier 8,,VORP: -105.6 | Proj: 40.8pts | ⭐ Top-10 Eco (Andy Reid) • OL #21
365,Kimani Vidal,LAC,RB,Tier 8,,VORP: -105.8 | Proj: 40.5pts | Scheme: Mike McDaniel • OL #9 • 👑 Elite GL Run (71% Run - Hampton TDs)
366,Dyami Brown,WAS,WR,Tier 8,,VORP: -106.1 | Proj: 32.6pts | Scheme: David Blough • ⚠️ Bad OL (#25)
367,Isaiah Bond,CLE,WR,Tier 8,,VORP: -106.6 | Proj: 32.2pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🚨 2-WR Bench Risk (47%)
368,Seth McGowan,IND,RB,Tier 8,,VORP: -107.0 | Proj: 39.3pts | Scheme: Shane Steichen • OL #10 • 👑 Elite GL Run (69% Run - JT TDs)
369,Bryce Lance,NO,WR,Tier 8,,VORP: -107.4 | Proj: 31.4pts | Scheme: Kellen Moore • ⚡ 3-WR Slot Heavy (25%)
370,Barion Brown,NO,WR,Tier 8,,VORP: -108.5 | Proj: 30.3pts | Scheme: Kellen Moore • ⚡ 3-WR Slot Heavy (25%)
371,Nicholas Singleton,TEN,RB,Tier 8,,VORP: -108.5 | Proj: 37.8pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
372,Jahdae Walker,CHI,WR,Tier 8,,VORP: -108.6 | Proj: 30.2pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson)
373,Tutu Atwell,MIA,WR,Tier 8,,VORP: -109.3 | Proj: 29.5pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
374,Skyler Bell,BUF,WR,Tier 8,,VORP: -109.4 | Proj: 29.4pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ 3-WR Slot Heavy (24%)
375,Tez Johnson,TB,WR,Tier 8,,VORP: -110.5 | Proj: 28.3pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass) • ⚡ 3-WR Slot Heavy (27%)
376,Sione Vaki,DET,RB,Tier 8,,VORP: -110.7 | Proj: 35.6pts | ⭐ Top-10 Eco (Drew Petzing) • OL #16 • 👑 Elite GL Run (74% Run - Gibbs/Monty TDs)
377,Savion Williams,GB,WR,Tier 8,,VORP: -111.0 | Proj: 27.8pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
378,Tai Felton,MIN,WR,Tier 8,,VORP: -111.0 | Proj: 27.8pts | Scheme: Kevin O'Connell • 🎯 Pass-Funnel RZ (58% Pass)
379,Tim Patrick,NYJ,WR,Tier 8,,VORP: -111.3 | Proj: 27.4pts | Scheme: Frank Reich • ⚡ 3-WR Slot Heavy (24%)
380,Deion Burks,IND,WR,Tier 8,,VORP: -111.5 | Proj: 27.2pts | Scheme: Shane Steichen
381,Demarcus Robinson,SF,WR,Tier 8,,VORP: -111.6 | Proj: 27.2pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
382,Kyle Juszczyk,SF,RB,Tier 8,,VORP: -111.8 | Proj: 34.5pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
383,Michael Penix Jr.,ATL,QB,Tier 8,,VORP: -111.9 | Proj: 124.9pts | Scheme: Kevin Stefanski/Rees • OL #11
384,Cedric Tillman,CLE,WR,Tier 8,,VORP: -112.7 | Proj: 26.1pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🚨 2-WR Bench Risk (47%)
385,Frank Gore Jr.,BUF,RB,Tier 8,,VORP: -112.9 | Proj: 33.4pts | ⭐ Top-10 Eco (Joe Brady) • OL #7
386,Nick Westbrook-Ikhine,IND,WR,Tier 8,,VORP: -113.1 | Proj: 25.7pts | Scheme: Shane Steichen
387,Jimmy Horn Jr.,CAR,WR,Tier 8,,VORP: -113.6 | Proj: 25.2pts | Scheme: Dave Canales/Idzik
388,DJ Giddens,IND,RB,Tier 8,,VORP: -113.8 | Proj: 32.5pts | Scheme: Shane Steichen • OL #10 • 👑 Elite GL Run (69% Run - JT TDs)
389,Trevor Etienne,CAR,RB,Tier 8,,VORP: -114.1 | Proj: 32.3pts | Scheme: Dave Canales/Idzik • OL #8
390,Isaiah Williams,NYJ,WR,Tier 8,,VORP: -114.4 | Proj: 24.4pts | Scheme: Frank Reich • ⚡ 3-WR Slot Heavy (24%)
391,Raheim Sanders,CLE,RB,Tier 8,,VORP: -115.0 | Proj: 31.3pts | Scheme: Todd Monken • ⚠️ Bad OL (#32)
392,Tua Tagovailoa,ATL,QB,Tier 8,,VORP: -115.1 | Proj: 120.7pts | Scheme: Kevin Stefanski/Rees • OL #11
393,Tahj Brooks,CIN,RB,Tier 8,,VORP: -115.2 | Proj: 31.1pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28)
394,Devin Singletary,NYG,RB,Tier 8,,VORP: -115.7 | Proj: 30.6pts | Scheme: Matt Nagy • OL #18
395,Elijah Sarratt,BAL,WR,Tier 8,,VORP: -116.0 | Proj: 22.8pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🚨 2-WR Bench Risk (60%)
396,Greg Dortch,DET,WR,Tier 8,,VORP: -116.2 | Proj: 22.6pts | ⭐ Top-10 Eco (Drew Petzing)
397,Kirk Cousins,LV,QB,Tier 8,,VORP: -116.2 | Proj: 119.1pts | Scheme: Klint Kubiak • OL #24
398,Will Shipley,PHI,RB,Tier 8,,VORP: -116.3 | Proj: 30.0pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2) • 👑 Elite GL Run (78% Run - Saquon/Hurts TDs)
399,Austin Ekeler,FA,RB,Tier 8,,VORP: -116.4 | Proj: 29.9pts | Scheme: nan • OL #16
400,Sean Tucker,TB,RB,Tier 8,,VORP: -116.8 | Proj: 29.5pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5)
401,Emanuel Wilson,SEA,RB,Tier 8,,VORP: -117.0 | Proj: 29.3pts | Scheme: Brian Fleury • OL #14
402,Kendre Miller,NO,RB,Tier 8,,VORP: -119.4 | Proj: 26.9pts | Scheme: Kellen Moore • OL #22
403,Lil'Jordan Humphrey,DEN,WR,Tier 8,,VORP: -120.0 | Proj: 18.8pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%)
404,Dont'e Thornton Jr.,LV,WR,Tier 8,,VORP: -120.5 | Proj: 18.3pts | Scheme: Klint Kubiak
405,Jaylin Lane,WAS,WR,Tier 8,,VORP: -120.5 | Proj: 18.3pts | Scheme: David Blough • ⚠️ Bad OL (#25)
406,Damien Martinez,GB,RB,Tier 8,,VORP: -120.6 | Proj: 25.7pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27) • 👑 Elite GL Run (67% Run - Jacobs TDs)
407,Zavier Scott,MIN,RB,Tier 8,,VORP: -121.0 | Proj: 25.4pts | Scheme: Kevin O'Connell • OL #12
408,Michael Carter,TEN,RB,Tier 8,,VORP: -121.0 | Proj: 25.3pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
409,Marquez Valdes-Scantling,DAL,WR,Tier 8,,VORP: -122.3 | Proj: 16.4pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass) • ⚡ 3-WR Slot Heavy (26%)
410,Jaleel McLaughlin,DEN,RB,Tier 8,,VORP: -122.8 | Proj: 23.6pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1)
411,Mitch Tinsley,CIN,WR,Tier 8,,VORP: -122.8 | Proj: 16.0pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
412,Jalen Royals,KC,WR,Tier 8,,VORP: -122.8 | Proj: 16.0pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass)
413,Jawhar Jordan,HOU,RB,Tier 8,,VORP: -122.8 | Proj: 23.5pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29)
414,Odell Beckham Jr.,NYG,WR,Tier 8,,VORP: -123.8 | Proj: 15.0pts | Scheme: Matt Nagy
415,Audric Estime,NO,RB,Tier 8,,VORP: -124.4 | Proj: 22.0pts | Scheme: Kellen Moore • OL #22
416,Dameon Pierce,PHI,RB,Tier 8,,VORP: -124.4 | Proj: 22.0pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2) • 👑 Elite GL Run (78% Run - Saquon/Hurts TDs)
417,Xavier Restrepo,TEN,WR,Tier 8,,VORP: -124.8 | Proj: 14.0pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚡ 3-WR Slot Heavy (20%)
418,CJ Daniels,LAR,WR,Tier 8,,VORP: -125.0 | Proj: 13.8pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass)
419,Roschon Johnson,CHI,RB,Tier 8,,VORP: -125.0 | Proj: 21.3pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4)
420,Hunter Luepke,DAL,RB,Tier 8,,VORP: -125.8 | Proj: 20.6pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15
421,KeAndre Lambert-Smith,LAC,WR,Tier 8,,VORP: -125.8 | Proj: 13.0pts | Scheme: Mike McDaniel • ⚡ 3-WR Slot Heavy (19%)
422,Jordan Watkins,SF,WR,Tier 8,,VORP: -126.0 | Proj: 12.8pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
423,Dylan Laube,LV,RB,Tier 8,,VORP: -126.3 | Proj: 20.0pts | Scheme: Klint Kubiak • OL #24
424,Xavier Smith,LAR,WR,Tier 8,,VORP: -127.2 | Proj: 11.6pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass)
425,Jeremy McNichols,WAS,RB,Tier 8,,VORP: -127.5 | Proj: 18.8pts | Scheme: David Blough • ⚠️ Bad OL (#25)
426,DeAndre Hopkins,BAL,WR,Tier 8,,VORP: -127.5 | Proj: 11.3pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🚨 2-WR Bench Risk (60%)
427,Jam Miller,NE,RB,Tier 8,,VORP: -128.8 | Proj: 17.5pts | Scheme: Josh McDaniels • OL #13
428,Jarquez Hunter,LAR,RB,Tier 8,,VORP: -128.8 | Proj: 17.5pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3)
429,David Sills V,TB,WR,Tier 8,,VORP: -128.9 | Proj: 9.8pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass) • ⚡ 3-WR Slot Heavy (27%)
430,Cedrick Wilson Jr.,DET,WR,Tier 8,,VORP: -128.9 | Proj: 9.8pts | ⭐ Top-10 Eco (Drew Petzing)
431,Kareem Hunt,FA,RB,Tier 8,,VORP: -129.1 | Proj: 17.3pts | Scheme: nan • OL #16
432,Terrell Jennings,FA,RB,Tier 8,,VORP: -129.8 | Proj: 16.5pts | Scheme: nan • OL #16
433,Chris Blair,ATL,WR,Tier 8,,VORP: -130.6 | Proj: 8.2pts | Scheme: Kevin Stefanski/Rees • 🚨 2-WR Bench Risk (54%)
434,Michael Woods II,DEN,WR,Tier 8,,VORP: -130.6 | Proj: 8.2pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%)
435,Devin Neal,NO,RB,Tier 8,,VORP: -131.4 | Proj: 14.9pts | Scheme: Kellen Moore • OL #22
436,J'Mari Taylor,JAC,RB,Tier 8,,VORP: -131.7 | Proj: 14.7pts | Scheme: Liam Coen • OL #23
437,Elijah Moore,PHI,WR,Tier 8,,VORP: -132.2 | Proj: 6.6pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
438,Reggie Virgil,ARI,WR,Tier 8,,VORP: -132.2 | Proj: 6.6pts | Scheme: Mike LaFleur
439,Michael Burton,CLE,RB,Tier 8,,VORP: -132.3 | Proj: 14.0pts | Scheme: Todd Monken • ⚠️ Bad OL (#32)
440,Eli Heidenreich,PIT,RB,Tier 8,,VORP: -132.4 | Proj: 13.9pts | Scheme: Mike McCarthy • OL #19
441,Khalil Herbert,SF,RB,Tier 8,,VORP: -132.6 | Proj: 13.8pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
442,Isaac Guerendo,SF,RB,Tier 8,,VORP: -132.6 | Proj: 13.7pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
443,Rasheen Ali,BAL,RB,Tier 8,,VORP: -133.0 | Proj: 13.3pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 👑 Elite GL Run (72% Run - Henry/Lamar TDs)
444,Jerome Ford,WAS,RB,Tier 8,,VORP: -133.7 | Proj: 12.7pts | Scheme: David Blough • ⚠️ Bad OL (#25)
445,Antonio Gibson,FA,RB,Tier 8,,VORP: -133.8 | Proj: 12.5pts | Scheme: nan • OL #16
446,Van Jefferson,WAS,WR,Tier 8,,VORP: -133.9 | Proj: 4.9pts | Scheme: David Blough • ⚠️ Bad OL (#25)
447,Tyler Lockett,LV,WR,Tier 8,,VORP: -133.9 | Proj: 4.9pts | Scheme: Klint Kubiak
448,Alec Ingold,LAC,RB,Tier 8,,VORP: -134.0 | Proj: 12.3pts | Scheme: Mike McDaniel • OL #9 • 👑 Elite GL Run (71% Run - Hampton TDs)
449,Phil Mafah,DAL,RB,Tier 8,,VORP: -134.5 | Proj: 11.8pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15
450,Tyler Goodson,ATL,RB,Tier 8,,VORP: -135.3 | Proj: 11.1pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs)
451,Velus Jones Jr.,SEA,WR,Tier 8,,VORP: -135.5 | Proj: 3.3pts | Scheme: Brian Fleury • 🚨 2-WR Bench Risk (47%)
452,Roman Hemby,LV,RB,Tier 8,,VORP: -135.8 | Proj: 10.5pts | Scheme: Klint Kubiak • OL #24
453,Joe Mixon,FA,RB,Tier 8,,VORP: -136.5 | Proj: 9.8pts | Scheme: nan • OL #16
454,Jalen Reagor,MIA,WR,Tier 8,,VORP: -137.1 | Proj: 1.6pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
455,Adam Prentice,DEN,RB,Tier 8,,VORP: -138.1 | Proj: 8.3pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1)
456,Travis Homer,PIT,RB,Tier 8,,VORP: -138.1 | Proj: 8.2pts | Scheme: Mike McCarthy • OL #19
457,Ronnie Rivers,LAR,RB,Tier 8,,VORP: -139.7 | Proj: 6.6pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3)
458,Max Bredeson,MIN,RB,Tier 8,,VORP: -139.8 | Proj: 6.6pts | Scheme: Kevin O'Connell • OL #12
